,mmsi,latitude,longitude,speed,heading,course,rot,draught,geo_index,point
5016,224485000,36.720905,-3.5239832,0.0,25.0,242.9,-5.0,,2366,POINT(-3.5239832 36.720905)
5017,224485000,36.720898,-3.5240033,0.0,25.0,198.8,-8.0,,2366,POINT(-3.5240033 36.720898)
5018,224485000,36.72089,-3.5240383,0.0,25.0,198.8,-7.0,,2366,POINT(-3.5240383 36.72089)
5019,224485000,36.720882,-3.52402,0.0,25.0,135.9,-7.0,,2366,POINT(-3.52402 36.720882)
5020,224485000,36.720905,-3.5240366,0.0,25.0,258.5,-8.0,,2366,POINT(-3.5240366 36.720905)
5021,224485000,36.72082,-3.5239882,0.0,25.0,258.5,5.0,,2366,POINT(-3.5239882 36.72082)
5022,224485000,36.720898,-3.5240667,0.0,25.0,228.9,-7.0,,2366,POINT(-3.5240667 36.720898)
5023,224485000,36.7209,-3.523995,0.0,25.0,238.1,-9.0,,2366,POINT(-3.523995 36.7209)
5024,224485000,36.720856,-3.5240366,0.0,25.0,245.7,-7.0,,2366,POINT(-3.5240366 36.720856)
5025,224485000,36.72093,-3.524005,0.0,25.0,198.8,12.0,,2366,POINT(-3.524005 36.72093)
5026,224485000,36.720863,-3.524035,0.0,25.0,242.9,5.0,,2366,POINT(-3.524035 36.720863)
5027,224485000,36.72086,-3.524035,0.0,25.0,242.9,-9.0,,2366,POINT(-3.524035 36.72086)
5028,224485000,36.72085,-3.52403,0.0,25.0,242.9,-7.0,,2366,POINT(-3.52403 36.72085)
5029,224485000,36.7209,-3.5240767,0.0,25.0,198.8,-9.0,,2366,POINT(-3.5240767 36.7209)
5030,224485000,36.720833,-3.5240667,0.0,25.0,198.8,9.0,,2366,POINT(-3.5240667 36.720833)
5031,224485000,36.720863,-3.5240116,0.0,25.0,198.8,-7.0,,2366,POINT(-3.5240116 36.720863)
5032,224485000,36.720867,-3.52396,0.0,25.0,198.8,9.0,,2366,POINT(-3.52396 36.720867)
5033,224485000,36.720848,-3.52385,0.0,25.0,198.8,8.0,,2366,POINT(-3.52385 36.720848)
5034,224485000,36.72089,-3.52403,0.0,25.0,135.9,-8.0,,2366,POINT(-3.52403 36.72089)
5036,224485000,36.7209,-3.5239134,0.0,25.0,228.9,12.0,,2366,POINT(-3.5239134 36.7209)
5037,224485000,36.72083,-3.5239916,0.0,25.0,228.9,12.0,,2366,POINT(-3.5239916 36.72083)
5038,224485000,36.72094,-3.523925,0.0,25.0,228.9,-9.0,,2366,POINT(-3.523925 36.72094)
5039,224485000,36.720837,-3.5240133,0.0,25.0,228.9,8.0,,2366,POINT(-3.5240133 36.720837)
5040,224485000,36.72091,-3.5239882,0.0,25.0,228.9,7.0,,2366,POINT(-3.5239882 36.72091)
5041,224485000,36.720913,-3.523975,0.0,25.0,228.9,8.0,,2366,POINT(-3.523975 36.720913)
5042,224485000,36.72084,-3.524095,0.0,25.0,228.9,-8.0,,2366,POINT(-3.524095 36.72084)
5043,224485000,36.7209,-3.5239866,0.0,25.0,238.1,-12.0,,2366,POINT(-3.5239866 36.7209)
5044,224485000,36.72081,-3.5239117,0.0,25.0,245.7,-9.0,,2366,POINT(-3.5239117 36.72081)
5045,224485000,36.720837,-3.5239635,0.0,25.0,198.8,5.0,,2366,POINT(-3.5239635 36.720837)
5046,224485000,36.720898,-3.5240316,0.0,25.0,198.8,-8.0,,2366,POINT(-3.5240316 36.720898)
5047,224485000,36.72084,-3.52406,0.0,25.0,198.8,9.0,,2366,POINT(-3.52406 36.72084)
5048,224485000,36.72088,-3.5240283,0.0,25.0,198.8,9.0,,2366,POINT(-3.5240283 36.72088)
5049,224485000,36.72086,-3.5240417,0.0,25.0,227.0,9.0,,2366,POINT(-3.5240417 36.72086)
5050,224485000,36.720844,-3.523985,0.0,25.0,227.0,8.0,,2366,POINT(-3.523985 36.720844)
5051,224485000,36.72091,-3.524,0.0,25.0,227.0,8.0,,2366,POINT(-3.524 36.72091)
5052,224485000,36.72077,-3.5239134,0.0,25.0,227.0,-5.0,,2366,POINT(-3.5239134 36.72077)
5053,224485000,36.720825,-3.5239916,0.0,25.0,227.0,-7.0,,2366,POINT(-3.5239916 36.720825)
5054,224485000,36.720837,-3.5240083,0.0,25.0,198.8,5.0,,2366,POINT(-3.5240083 36.720837)
5055,224485000,36.7209,-3.52402,0.0,25.0,198.8,12.0,,2366,POINT(-3.52402 36.7209)
5056,224485000,36.720825,-3.5241482,0.0,25.0,198.8,5.0,,2366,POINT(-3.5241482 36.720825)
5057,224485000,36.72092,-3.5241234,0.0,25.0,198.8,9.0,,2366,POINT(-3.5241234 36.72092)
5058,224485000,36.720997,-3.5241218,0.0,25.0,242.9,-7.0,,2366,POINT(-3.5241218 36.720997)
5059,224485000,36.720913,-3.5239782,0.0,25.0,198.8,7.0,,2366,POINT(-3.5239782 36.720913)
5060,224485000,36.72087,-3.5239816,0.0,25.0,242.9,12.0,,2366,POINT(-3.5239816 36.72087)
5061,224485000,36.720898,-3.5240216,0.0,25.0,242.9,-5.0,,2366,POINT(-3.5240216 36.720898)
5062,224485000,36.72089,-3.52397,0.0,25.0,135.9,5.0,,2366,POINT(-3.52397 36.72089)
5063,224485000,36.720905,-3.52401,0.0,25.0,135.9,5.0,,2366,POINT(-3.52401 36.720905)
5064,224485000,36.72089,-3.5239782,0.0,25.0,135.9,-9.0,,2366,POINT(-3.5239782 36.72089)
5065,224485000,36.720917,-3.5239635,0.0,25.0,135.9,8.0,,2366,POINT(-3.5239635 36.720917)
5066,224485000,36.720806,-3.5239832,0.0,25.0,135.9,-5.0,,2366,POINT(-3.5239832 36.720806)
5067,224485000,36.7208,-3.5239117,0.0,25.0,135.9,-8.0,,2366,POINT(-3.5239117 36.7208)
5068,224485000,36.720867,-3.524005,0.0,25.0,228.9,12.0,,2366,POINT(-3.524005 36.720867)
5069,224485000,36.720867,-3.5240433,0.0,25.0,228.9,-8.0,,2366,POINT(-3.5240433 36.720867)
5070,224485000,36.720837,-3.5240066,0.0,25.0,228.9,8.0,,2366,POINT(-3.5240066 36.720837)
5071,224485000,36.7209,-3.5240183,0.0,25.0,228.9,12.0,,2366,POINT(-3.5240183 36.7209)
5072,224485000,36.720802,-3.524015,0.0,25.0,228.9,9.0,,2366,POINT(-3.524015 36.720802)
5073,224485000,36.720905,-3.5240417,0.0,25.0,245.7,-12.0,,2366,POINT(-3.5240417 36.720905)
5074,224485000,36.7209,-3.5240417,0.0,25.0,228.9,-11.0,,2366,POINT(-3.5240417 36.7209)
5075,224485000,36.720894,-3.52401,0.0,25.0,238.1,-8.0,,2366,POINT(-3.52401 36.720894)
5076,224485000,36.720814,-3.523995,0.0,25.0,258.5,7.0,,2366,POINT(-3.523995 36.720814)
5077,224485000,36.720837,-3.52389,0.0,25.0,258.5,8.0,,2366,POINT(-3.52389 36.720837)
5078,224485000,36.72091,-3.524045,0.0,25.0,228.9,-9.0,,2366,POINT(-3.524045 36.72091)
5079,224485000,36.720917,-3.5240033,0.0,25.0,228.9,9.0,,2366,POINT(-3.5240033 36.720917)
5080,224485000,36.720867,-3.524,0.0,25.0,228.9,-9.0,,2366,POINT(-3.524 36.720867)
5083,224485000,36.720924,-3.52392,0.0,25.0,238.1,-8.0,,2366,POINT(-3.52392 36.720924)
5086,224485000,36.72087,-3.5240333,0.0,25.0,261.2,7.0,,2366,POINT(-3.5240333 36.72087)
5087,224485000,36.720882,-3.5239732,0.0,25.0,228.9,-5.0,,2366,POINT(-3.5239732 36.720882)
5088,224485000,36.720894,-3.5239284,0.0,25.0,228.9,-5.0,,2366,POINT(-3.5239284 36.720894)
5089,224485000,36.720867,-3.5239832,0.0,25.0,228.9,-8.0,,2366,POINT(-3.5239832 36.720867)
5090,224485000,36.720882,-3.524045,0.0,25.0,135.9,12.0,,2366,POINT(-3.524045 36.720882)
5091,224485000,36.72093,-3.5240967,0.0,25.0,258.5,7.0,,2366,POINT(-3.5240967 36.72093)
5092,224485000,36.720882,-3.523775,0.0,25.0,245.7,-8.0,,2366,POINT(-3.523775 36.720882)
5093,224485000,36.72094,-3.5240083,0.0,25.0,238.1,-8.0,,2366,POINT(-3.5240083 36.72094)
5095,224485000,36.720848,-3.52397,0.0,25.0,245.7,-7.0,,2366,POINT(-3.52397 36.720848)
5096,224485000,36.720863,-3.5240066,0.0,25.0,316.6,-9.0,,2366,POINT(-3.5240066 36.720863)
5097,224485000,36.72081,-3.52413,0.0,25.0,135.9,-11.0,,2366,POINT(-3.52413 36.72081)
5098,224485000,36.72087,-3.5240617,0.0,25.0,258.5,-9.0,,2366,POINT(-3.5240617 36.72087)
5099,224485000,36.720818,-3.5240283,0.0,25.0,228.9,-5.0,,2366,POINT(-3.5240283 36.720818)
5100,224485000,36.72089,-3.5240333,0.0,25.0,228.9,-9.0,,2366,POINT(-3.5240333 36.72089)
5101,224485000,36.72091,-3.5240467,0.0,25.0,228.9,9.0,,2366,POINT(-3.5240467 36.72091)
5102,224485000,36.720905,-3.524035,0.0,25.0,245.7,-9.0,,2366,POINT(-3.524035 36.720905)
